czas,e_temperatura,temperatura
1051.39,339.525,340.599
1053.76,339.273,340.344
1056.13,339.022,340.091
1058.5,338.772,339.838
1060.86,338.523,339.585
1063.23,338.274,339.334
1065.6,338.026,339.083
1067.97,337.779,338.833
1070.34,337.532,338.583
1072.7,337.286,338.335
1075.07,337.041,338.087
1077.44,336.796,337.84
1079.81,336.553,337.593
1082.18,336.31,337.348
1084.54,336.067,337.103
1086.91,335.826,336.858
1089.28,335.585,336.615
1091.65,335.344,336.372
1094.02,335.105,336.13
1096.38,334.866,335.888
1098.75,334.628,335.648
1101.12,334.39,335.407
1103.49,334.153,335.168
1105.86,333.917,334.929
1108.22,333.682,334.691
1110.59,333.447,334.454
1112.96,333.213,334.217
1115.33,332.979,333.981
1117.7,332.746,333.746
1120.06,332.514,333.511
1122.43,332.282,333.277
1124.8,332.051,333.044
1127.17,331.821,332.811
1129.54,331.591,332.579
1131.9,331.362,332.347
1134.27,331.134,332.117
1136.64,330.906,331.886
1139.01,330.679,331.657
1141.38,330.453,331.428
1143.74,330.227,331.2
1146.11,330.001,330.972
1148.48,329.777,330.745
1150.85,329.553,330.519
1153.22,329.329,330.293
1155.58,329.106,330.068
1157.95,328.884,329.843
1160.32,328.663,329.619
1162.69,328.442,329.396
1165.06,328.221,329.173
1167.42,328.001,328.951
1169.79,327.782,328.73
1172.16,327.563,328.509
1174.53,327.345,328.288
1176.9,327.128,328.069
1179.26,326.911,327.85
1181.63,326.694,327.631
1184,326.479,327.413
1186.37,326.263,327.196
1188.74,326.049,326.979
1191.1,325.835,326.762
1193.47,325.621,326.547
1195.84,325.408,326.332
1198.21,325.196,326.117
1200.58,324.984,325.903
1202.94,324.773,325.69
1205.31,324.562,325.477
1207.68,324.352,325.264
1210.05,324.142,325.053
1212.42,323.933,324.842
1214.78,323.724,324.631
1217.15,323.516,324.421
1219.52,323.309,324.211
1221.89,323.102,324.002
1224.26,322.895,323.794
1226.62,322.689,323.586
1228.99,322.484,323.378
1231.36,322.279,323.171
1233.73,322.075,322.965
1236.1,321.871,322.759
1238.46,321.667,322.554
1240.83,321.465,322.349
1243.2,321.262,322.145
1245.57,321.06,321.941
1247.94,320.859,321.738
1250.3,320.658,321.535
1252.67,320.458,321.333
1255.04,320.258,321.131
1257.41,320.059,320.93
1259.78,319.86,320.729
1262.14,319.662,320.529
1264.51,319.464,320.329
1266.88,319.267,320.13
1269.25,319.07,319.931
1271.62,318.874,319.733
1273.98,318.678,319.535
1276.35,318.482,319.338
1278.72,318.288,319.141
1281.09,318.093,318.945
1283.46,317.899,318.749
1285.82,317.706,318.554
1288.19,317.513,318.359
1290.56,317.32,318.165
1292.93,317.128,317.971
1295.3,316.936,317.777
1297.66,316.745,317.584
1300.03,316.555,317.392
1302.4,316.364,317.2
1304.77,316.175,317.008
1307.14,315.985,316.817
1309.5,315.796,316.627
1311.87,315.608,316.437
1314.24,315.42,316.247
1316.61,315.233,316.058
1318.98,315.046,315.869
1321.34,314.859,315.68
1323.71,314.673,315.492
1326.08,314.487,315.305
1328.45,314.302,315.118
1330.82,314.117,314.931
1333.18,313.932,314.745
1335.55,313.748,314.56
1337.92,313.565,314.374
1340.29,313.382,314.19
1342.66,313.199,314.005
1345.02,313.017,313.821
1347.39,312.835,313.638
1349.76,312.653,313.455
1352.13,312.472,313.272
1354.5,312.292,313.09
1356.86,312.112,312.908
1359.23,311.932,312.726
1361.6,311.752,312.545
1363.97,311.574,312.365
1366.34,311.395,312.185
1368.7,311.217,312.005
1371.07,311.039,311.826
1373.44,310.862,311.647
1375.81,310.685,311.468
1378.18,310.508,311.29
1380.54,310.332,311.113
1382.91,310.157,310.935
1385.28,309.981,310.758
1387.65,309.806,310.582
1390.02,309.632,310.406
1392.38,309.458,310.23
1394.75,309.284,310.055
1397.12,309.111,309.88
1399.49,308.938,309.706
1401.86,308.765,309.531
1404.22,308.593,309.358
1406.59,308.421,309.184
1408.96,308.25,309.012
1411.33,308.079,308.839
1413.7,307.908,308.667
1416.06,307.738,308.495
1418.43,307.568,308.324
1420.8,307.398,308.153
1423.17,307.229,307.982
1425.54,307.06,307.812
1427.9,306.892,307.642
1430.27,306.724,307.472
1432.64,306.556,307.303
1435.01,306.389,307.134
1437.38,306.222,306.966
1439.74,306.056,306.798
1442.11,305.889,306.63
1444.48,305.723,306.463
1446.85,305.558,306.296
1449.22,305.393,306.13
1451.58,305.228,305.963
1453.95,305.064,305.798
1456.32,304.9,305.632
1458.69,304.736,305.467
1461.06,304.572,305.302
1463.42,304.409,305.138
1465.79,304.247,304.974
1468.16,304.084,304.81
1470.53,303.922,304.647
1472.9,303.761,304.484
1475.26,303.6,304.321
1477.63,303.439,304.159
1480,303.278,303.997
1482.37,303.118,303.835
1484.74,302.958,303.674
1487.1,302.798,303.513
1489.47,302.639,303.352
1491.84,302.48,303.192
1494.21,302.321,303.032
1496.58,302.163,302.873
1498.94,302.005,302.713
1501.31,301.848,302.555
1503.68,301.69,302.396
1506.05,301.534,302.238
1508.42,301.377,302.08
1510.78,301.221,301.922
1513.15,301.065,301.765
1515.52,300.909,301.608
1517.89,300.754,301.451
1520.26,300.599,301.295
1522.62,300.444,301.139
1524.99,300.29,300.984
1527.36,300.136,300.828
1529.73,299.982,300.673
1532.1,299.829,300.519
1534.46,299.675,300.364
1536.83,299.523,300.21
1539.2,299.37,300.057
1541.57,299.218,299.903
1543.94,299.066,299.75
1546.3,298.915,299.597
1548.67,298.763,299.445
1551.04,298.612,299.293
1553.41,298.462,299.141
1555.78,298.311,298.989
1558.14,298.161,298.838
1560.51,298.012,298.687
1562.88,297.862,298.536
1565.25,297.713,298.386
1567.62,297.564,298.236
1569.98,297.416,298.086
1572.35,297.268,297.937
1574.72,297.12,297.788
1577.09,296.972,297.639
1579.46,296.825,297.49
1581.82,296.678,297.342
1584.19,296.531,297.194
1586.56,296.384,297.047
1588.93,296.238,296.899
1591.3,296.092,296.752
1593.66,295.947,296.606
1596.03,295.801,296.459
1598.4,295.656,296.313
1600.77,295.512,296.167
1603.14,295.367,296.021
1605.5,295.223,295.876
1607.87,295.079,295.731
1610.24,294.935,295.586
1612.61,294.792,295.442
1614.98,294.649,295.298
1617.34,294.506,295.154
1619.71,294.364,295.01
1622.08,294.222,294.867
1624.45,294.08,294.724
1626.82,293.938,294.581
1629.18,293.796,294.438
1631.55,293.655,294.296
1633.92,293.514,294.154
1636.29,293.374,294.012
1638.66,293.234,293.871
1641.02,293.093,293.73
1643.39,292.954,293.589
1645.76,292.814,293.448
1648.13,292.675,293.308
1650.5,292.536,293.168
1652.86,292.397,293.028
1655.23,292.259,292.889
1657.6,292.12,292.749
1659.97,291.982,292.61
1662.34,291.845,292.472
1664.7,291.707,292.333
1667.07,291.57,292.195
1669.44,291.433,292.057
1671.81,291.297,291.919
1674.18,291.16,291.782
1676.54,291.024,291.645
1678.91,290.888,291.508
1681.28,290.753,291.371
1683.65,290.617,291.235
1686.02,290.482,291.098
1688.38,290.347,290.963
1690.75,290.213,290.827
1693.12,290.078,290.691
1695.49,289.944,290.556
1697.86,289.81,290.421
1700.22,289.677,290.287
1702.59,289.543,290.152
1704.96,289.41,290.018
